Wall time,Step,Value
1716790007.3852198,4000,-50.51760482788086
1716790254.0170767,8000,-51.417667388916016
1716790491.199216,12000,-51.19519805908203
1716790732.2148583,16000,-52.5238037109375
1716790973.4683087,20000,-52.88692092895508
1716791111.439216,24000,-53.18967056274414
1716791171.9814255,28000,-52.92610168457031
1716791233.6735272,32000,-52.49147033691406
1716791297.547105,36000,-52.6025505065918
1716791362.4261844,40000,-51.88701248168945
1716791428.5528388,44000,-52.31129837036133
1716791494.6310625,48000,-52.00336456298828
1716791559.191996,52000,-51.165435791015625
1716791624.543852,56000,-51.214332580566406
1716791692.2288191,60000,-51.32183837890625
1716791758.379239,64000,-50.93352127075195
1716791951.0068183,68000,-50.9092025756836
1716792115.9685647,72000,-51.07953643798828
1716792360.251292,76000,-50.71725082397461
1716792609.814258,80000,-50.28107070922852
1716792788.0395768,84000,-50.27822494506836
1716792860.8360622,88000,-50.39459991455078
1716792937.5117414,92000,-49.59044647216797
1716793008.3112557,96000,-49.32613754272461
1716793075.1395786,100000,-48.91482925415039
1716793139.907162,104000,-49.04630661010742
1716793215.7208738,108000,-48.00336837768555
1716793288.316343,112000,-47.78561019897461
1716793360.8906844,116000,-47.03063583374024
1716793434.0226588,120000,-46.18564224243164
1716793508.4652665,124000,-43.89274597167969
1716793582.7489502,128000,-42.952125549316406
1716793660.100562,132000,-41.51554870605469
1716793739.3469772,136000,-41.098445892333984
1716793825.026596,140000,-40.23654556274414
1716793920.2918952,144000,-38.57887268066406
1716794019.4067037,148000,-36.90859603881836
1716794096.9308994,152000,-35.444828033447266
1716794175.67933,156000,-33.40238571166992
1716794255.5340102,160000,-29.96662330627441
1716794330.0575163,164000,-28.8278923034668
1716794400.165305,168000,-28.010826110839844
1716794467.8797607,172000,-27.02769660949707
1716794539.8016484,176000,-25.3392391204834
1716794616.8041282,180000,-24.48592185974121
1716794682.4565847,183426,-23.8143253326416
1716794729.240561,185896,-24.196924209594727
1716794789.2466874,188990,-21.52566719055176
1716794858.4424143,192660,-20.899707794189453
1716794937.0931597,196660,-20.105024337768555
1716794995.1830354,199602,-19.302270889282227
1716795064.1199727,203153,-18.55546760559082
1716795145.0662804,207153,-12.569368362426758
1716795224.1384275,211153,-8.258243560791016
1716795307.912711,215153,-2.628582239151001
1716795392.8451629,219153,2.179769515991211
1716795481.1311398,223153,11.163795471191406
1716795564.3869944,227153,16.66607093811035
1716795635.9723098,230491,22.706954956054688
1716795722.1307504,234491,27.017475128173828
1716795794.56101,237771,28.37123680114746
1716795861.7491105,241064,35.13446807861328
1716795929.0784955,244345,45.257320404052734
1716796004.127482,248324,51.90156555175781
1716796076.381456,252324,55.62897872924805
1716796135.102416,255632,57.21332550048828
1716796195.704753,259129,59.15607452392578
1716796269.8518877,263129,62.0372200012207
1716796329.7863257,266471,62.75293731689453
1716796398.772265,270424,62.57783508300781
1716796469.4421115,274424,62.38198471069336
1716796537.9693792,278327,64.8123550415039
1716796580.5698836,280728,64.94732666015625
1716796651.2004192,284728,71.36038970947266
1716796724.043474,288728,78.74568176269531
1716796796.2189145,292728,81.20315551757812
1716796974.5281067,296728,86.14380645751953
1716797266.3506253,300728,84.60806274414062
1716797544.893709,304728,82.84307861328125
1716797626.308044,308728,85.69720458984375
1716797707.665907,312728,89.5499496459961
1716797793.1938348,316728,95.8014144897461
1716797872.5790734,320728,98.58114624023438
1716797959.6364052,324728,102.33580780029295
1716798034.9275966,328728,107.64579010009766
1716798109.3550715,332728,117.0997314453125
1716798185.158021,336728,118.27981567382812
1716798279.7243986,340728,115.22421264648438
1716798366.338008,344728,120.8340301513672
1716798448.0242968,348728,125.87781524658205
1716798532.9252863,352728,131.41563415527344
1716798609.5542393,356728,137.85386657714844
1716798694.321077,360728,153.8705596923828
1716798772.4301538,364728,161.39894104003906
1716798853.719869,368728,169.37570190429688
1716798940.2998464,372728,178.7491455078125
1716799030.7434924,376728,184.7842559814453
1716799125.4445145,380728,195.62164306640625
1716799220.0652046,384728,211.3287353515625
1716799320.8051054,388728,216.51333618164065
1716799431.419484,392728,234.317626953125
1716799540.5770075,396728,246.556884765625
1716799647.2173488,400728,262.6870422363281
1716799745.6507587,404728,275.658447265625
1716799848.123372,408728,283.802001953125
1716799945.970819,412728,301.3436889648437
1716800048.3938415,416728,301.1517944335937
1716800140.147817,420728,310.4656677246094
1716800228.8826628,424728,310.8807067871094
1716800313.4528584,428728,325.0007629394531
1716800400.045478,432728,329.8161926269531
1716800486.5590868,436728,340.5380554199219
1716800578.0220218,440728,355.5851745605469
1716800578.0220218,444728,353.5481023824421
1716801588.123032,448728,359.2314888920492
1716802598.224042,452728,360.8995958682078
1716803608.325052,456728,364.46093566701
1716804618.426062,460728,367.46227265223496
1716805628.5270722,464728,366.1963558324204
1716806638.6280825,468728,367.8214884587087
1716807648.7290924,472728,367.7944526462622
1716808658.8301027,476728,367.83962436857183
1716809668.9311128,480728,368.6555221214794
1716810679.0321229,484728,367.4193465393631
1716811689.133133,488728,371.4529977386652
1716812699.234143,492728,372.7945543263857
1716813709.335153,496728,373.1770668511249
1716814719.4361632,500728,374.0428617002431
1716815729.5371733,504728,374.7433731913045
1716816739.6381834,508728,377.1844918010409
1716817749.7391934,512728,377.07675440539214
1716818759.8402035,516728,377.7463559578685
1716819769.9412136,520728,376.66521234891593
1716820780.0422237,524728,371.30621262365054
1716821790.1432338,528728,374.21615551832537
1716822800.244244,532728,375.7128098166146
1716823810.3452542,536728,374.7995622860049
1716824820.4462645,540728,378.4041942219864
1716825830.5472744,544728,376.4226457100882
1716826840.6482844,548728,376.6912834860404
1716827850.7492943,552728,376.6105077110016
1716828860.8503046,556728,379.1096765325393
1716829870.9513147,560728,381.5137146873897
1716830881.0523248,564728,377.97673911777713
1716831891.1533349,568728,382.7133796053384
1716832901.254345,572728,381.5817009838932
1716833911.355355,576728,378.8105062815573
1716834921.456365,580728,378.4886380575681
