,all time,Step,Value
78,1716795645.433411,267786,-67.78091430664062
79,1716795790.3807416,269882,-66.34978485107422
80,1716796025.8661573,273287,-64.86721801757812
81,1716796304.9137836,277287,-64.55260467529297
82,1716796589.752421,281287,-62.02250671386719
83,1716796873.861689,285287,-60.32786178588867
84,1716797106.0441952,288555,-59.85833358764648
85,1716797395.9199345,292555,-58.30295944213867
86,1716797681.8993824,296555,-53.48325347900391
87,1716797966.8674312,300555,-52.7346305847168
88,1716798249.619643,304555,-50.45718765258789
89,1716798532.360712,308555,-48.35654830932617
90,1716798809.1569934,312555,-47.48372650146485
91,1716799091.431645,316555,-45.83310317993164
92,1716799376.7971842,320555,-45.5591926574707
93,1716799657.7356794,324555,-43.48352813720703
94,1716799939.407312,328506,-42.47279357910156
95,1716800220.9024842,332506,-41.57548522949219
96,1716800502.495223,336506,-41.871978759765625
97,1716800785.7987094,340506,-42.75345230102539
98,1716801071.2617807,344506,-41.67520523071289
99,1716801361.5465724,348506,-40.52798461914063
100,1716801650.0475953,352506,-38.43737030029297
101,1716801940.841342,356506,-35.643436431884766
102,1716802223.1774073,360492,-33.96033477783203
103,1716802504.621408,364492,-32.76546859741211
104,1716802791.3887672,368492,-33.2945556640625
105,1716803049.8476498,372172,-34.52486038208008
106,1716803297.3322875,375702,-35.37586975097656
107,1716803297.3322875,379702,-30.50283365998684
108,1716804307.4332976,383702,22.07554153474875
109,1716805317.5343077,387702,-33.92261815772743
110,1716806327.6353178,391702,-37.141524024195945
111,1716807337.736328,395702,-34.54530113622191
112,1716808347.837338,399702,-41.44991722686275
113,1716809357.938348,403702,-36.21548193421332
114,1716810368.039358,407702,-38.49910263689863
115,1716811378.1403685,411702,-37.54198534872733
116,1716812388.2413783,415702,-38.29009647515956
117,1716813398.3423886,419702,-33.90377266402464
118,1716814408.4433987,423702,-40.0841947925176
119,1716815418.5444088,427702,-41.05144640455812
120,1716816428.645419,431702,-42.20360946856337
121,1716817438.746429,435702,-38.80230114155705
122,1716818448.847439,439702,-42.10197494349915
123,1716819458.9484491,443702,-42.61925956615045
124,1716820469.0494592,447702,-45.25283481991457
125,1716821479.1504693,451702,-45.12619357976779
126,1716822489.2514794,455702,-43.37774793862033
127,1716823499.3524897,459702,-46.67960547025909
128,1716824509.4534996,463702,-43.245434340740246
129,1716825519.55451,467702,-40.54066217896186
130,1716826529.65552,471702,-39.03317916225626
131,1716827539.75653,475702,-36.33061131446302
132,1716828549.85754,479702,-38.38179489198602
133,1716829559.9585502,483702,-38.75046556854196
134,1716830570.0595603,487702,-2.7779611587880524
135,1716831580.1605704,491702,-42.36143811019722
136,1716832590.2615805,495702,-40.77037170998266
137,1716833600.3625906,499702,-42.84535396515859
138,1716834610.4636006,503702,-44.03561454572652
139,1716835620.5646107,507702,-46.09713264608532
140,1716836630.6656208,511702,-48.63274957058148
141,1716837640.766631,515702,-50.646487963091936
142,1716838650.867641,519702,-50.68448175984864
143,1716839660.9686513,523702,-54.03641280575447
144,1716840671.0696614,527702,-53.3331657123032
145,1716841681.1706717,531702,-48.35375918097358
146,1716842691.2716815,535702,-46.12762669924157
147,1716843701.3726916,539702,-46.70313335632642
148,1716844711.4737017,543702,-49.36602024858093
149,1716845721.5747118,547702,-51.60749512983344
150,1716846731.675722,551702,-46.5301313267502
151,1716847741.776732,555702,-46.37770806242212
152,1716848751.877742,559702,0.5207631201217282
153,1716849761.978752,563702,-47.71594854812778
154,1716850772.0797622,567702,-41.41518313869125
155,1716851782.1807723,571702,-41.05470628124636
156,1716852792.2817824,575702,-39.203096952124106
157,1716853802.3827927,579702,-38.302585992256624
158,1716854812.4838028,583702,-39.35933553173717
159,1716855822.5848129,587702,7.387203957196448
160,1716856832.685823,591702,-43.83491829304223
161,1716857842.786833,595702,-44.46160099316656
162,1716858852.8878431,599702,-42.701731419619975
163,1716859862.9888532,603702,-40.184781177996456
164,1716860873.0898633,607702,-37.391474934085785
165,1716861883.1908734,611702,-36.534712958323006
166,1716862893.2918837,615702,-33.87928946551082
167,1716863903.3928936,619702,-36.14248328850079
168,1716864913.4939036,623702,-32.38387882280092
169,1716865923.5949135,627702,-30.84508936154689
170,1716866933.6959238,631702,-31.73936786685504
171,1716867943.796934,635702,-30.273813427242548
172,1716868953.8979442,639702,-30.500528566305714
173,1716869963.9989543,643702,-27.105640403951437
174,1716870974.0999644,647702,3.105432404243775
175,1716871984.2009745,651702,-15.989463735085351
176,1716872994.3019843,655702,-20.178952741549764
177,1716874004.4029946,659702,-24.51129415783853
178,1716875014.5040047,663702,45.84510472306469
179,1716876024.6050148,667702,-25.544580538334397
180,1716877034.706025,671702,-22.91607377498572
181,1716878044.807035,675702,-21.969168933260903
182,1716879054.908045,679702,-28.035772580732917
183,1716880065.0090551,683702,-28.95438461861803
184,1716881075.1100652,687702,-26.47046069079629
185,1716882085.2110755,691702,-25.78017648470314
186,1716883095.3120856,695702,-23.494142943767063
187,1716884105.4130957,699702,24.837320295566855
188,1716885115.5141058,703702,-24.763401578388137
189,1716886125.615116,707702,-24.203717405423284
190,1716887135.716126,711702,-22.973562463798515
191,1716888145.817136,715702,-22.378663303418207
192,1716889155.918146,719702,-22.02163736599583
193,1716890166.0191562,723702,-24.03362422486292
194,1716891176.1201663,727702,-22.900932865900163
195,1716892186.2211764,731702,-22.53546905292585
196,1716893196.3221865,735702,-19.14701732919009
197,1716894206.4231966,739702,-15.550263689485572
198,1716895216.5242066,743702,-14.99479443703374
199,1716896226.625217,747702,-16.120649287304083
200,1716897236.726227,751702,-18.03684050966675
201,1716898246.8272371,755702,-16.766357447474412
202,1716899256.9282472,759702,30.364495022390663
203,1716900267.0292573,763702,42.82234774945218
204,1716901277.1302674,767702,-17.43510769863922
205,1716902287.2312777,771702,-19.29511023048361
206,1716903297.3322875,775702,31.434538432772715
