Wall time,Step,Value
1716648484.0084531,114688,-39.14641189575195
1716648531.4659,115712,-39.50355529785156
1716648576.994948,116736,-38.62808609008789
1716648622.2436917,117760,-38.3199348449707
1716648667.9997945,118784,-37.981407165527344
1716648714.8724723,119808,-37.15479278564453
1716648760.873896,120832,-35.69797897338867
1716648807.932,121856,-35.94587326049805
1716648857.1500833,122880,-35.84833526611328
1716648903.8603137,123904,-34.58039093017578
1716648952.3285751,124928,-34.25619888305664
1716648998.6165135,125952,-33.922828674316406
1716649044.432125,126976,-34.51045608520508
1716649090.4222064,128000,-34.91736602783203
1716649136.2466016,129024,-34.72452545166016
1716649182.3134315,130048,-34.82606887817383
1716649228.340238,131072,-35.00028610229492
1716649275.833471,132096,-33.94510269165039
1716649322.125018,133120,-33.568782806396484
1716649368.2427232,134144,-32.91717529296875
1716649416.0781417,135168,-32.675689697265625
1716649463.1031127,136192,-32.49986267089844
1716649512.8412342,137216,-32.369144439697266
1716649559.830786,138240,-31.716144561767575
1716649607.1836834,139264,-31.458898544311523
1716649654.35386,140288,-29.74804306030273
1716649699.5278509,141312,-29.67138671875
1716649745.2730207,142336,-29.740989685058597
1716649791.4818573,143360,-28.778121948242188
1716649838.390558,144384,-28.843997955322266
1716649885.8315625,145408,-28.04427146911621
1716649933.7421155,146432,-27.396629333496094
1716649981.1617558,147456,-27.070476531982425
1716650029.8530254,148480,-27.103111267089844
1716650076.7494912,149504,-27.611730575561523
1716650123.6545742,150528,-27.30666732788086
1716650171.155866,151552,-26.6837100982666
1716650217.6527505,152576,-26.64249992370605
1716650263.9432526,153600,-26.71011734008789
1716650311.636633,154624,-26.527664184570312
1716650357.8625236,155648,-26.08045768737793
1716650404.0689397,156672,-26.50581169128418
1716650452.2845235,157696,-26.11860656738281
1716650498.900925,158720,-25.497589111328125
1716650544.882413,159744,-25.01214027404785
1716650592.6671395,160768,-24.944562911987305
1716650640.9598105,161792,-25.36030387878418
1716650689.3409877,162816,-23.29644012451172
1716650736.219508,163840,-23.447378158569336
1716650784.5247428,164864,-23.02169609069824
1716650831.4206853,165888,-23.79842758178711
1716650877.293973,166912,-23.14297866821289
1716650923.3016365,167936,-22.469696044921875
1716650969.1814752,168960,-20.803895950317383
1716651015.2655003,169984,-19.72669982910156
1716651062.3902636,171008,-19.242677688598636
1716651109.0615811,172032,-18.335411071777344
1716651155.5054135,173056,-17.838050842285156
1716651203.698673,174080,-17.96527862548828
1716651252.2588334,175104,-18.869165420532227
1716651300.845111,176128,-18.390113830566406
1716651347.9289062,177152,-18.511716842651367
1716651396.4874449,178176,-18.030765533447266
1716651443.4775655,179200,-17.199966430664062
1716651490.566639,180224,-17.99364471435547
1716651537.8749795,181248,-16.502628326416016
1716651584.5323372,182272,-16.609661102294922
1716651632.1044652,183296,-16.165170669555664
1716651677.81979,184320,-16.03781509399414
1716651723.4801202,185344,-14.917104721069336
1716651770.4920712,186368,-14.599122047424316
1716651818.720572,187392,-14.236458778381348
1716651867.264016,188416,-14.014581680297852
1716651916.974862,189440,-13.798266410827637
1716651966.447766,190464,-14.14041519165039
1716652015.0203187,191488,-14.345830917358398
1716652062.3819396,192512,-14.509170532226562
1716652110.3030446,193536,-14.112040519714355
1716652156.9984474,194560,-13.079015731811523
1716652202.3901415,195584,-13.8704833984375
1716652249.3228788,196608,-14.3206205368042
1716652294.565878,197632,-13.054746627807615
1716652340.922932,198656,-14.231913566589355
1716652389.6048653,199680,-13.601950645446776
1716652436.5444293,200704,-14.634324073791504
1716652484.4130127,201728,-15.736478805541992
1716652532.3165183,202752,-15.802753448486328
1716652579.639642,203776,-15.713953018188477
1716652627.0505016,204800,-15.122842788696287
1716652675.2362096,205824,-16.224992752075195
1716652722.8567722,206848,-16.04157829284668
1716652770.5944405,207872,-16.863006591796875
1716652818.150802,208896,-16.778291702270508
1716652866.278332,209920,-17.978988647460938
1716652912.8686342,210944,-18.8679256439209
1716652960.033955,211968,-19.93011283874512
1716653009.087681,212992,-20.164087295532227
1716653058.387989,214016,-20.45692253112793
1716653107.3731906,215040,-20.86457061767578
1716653154.4199288,216064,-21.178855895996094
1716653204.609728,217088,-21.879135131835938
1716653251.429453,218112,-21.748485565185547
1716653299.4243033,219136,-22.088645935058597
1716653347.2555132,220160,-22.796112060546875
1716653394.8222835,221184,-22.868200302124023
1716653443.282689,222208,-23.06566619873047
1716653491.1679833,223232,-23.325044631958008
1716653540.364154,224256,-24.86431121826172
1716653588.3471577,225280,-25.219905853271484
1716653639.1220708,226304,-25.570941925048828
1716653688.3951635,227328,-25.54535675048828
1716653738.076328,228352,-25.743343353271484
1716653786.2057087,229376,-25.93776512145996
1716653836.1398344,230400,-26.2255859375
1716653884.6390228,231424,-26.67360496520996
1716653934.4444606,232448,-27.84316062927246
1716653982.2209933,233472,-28.45810890197754
1716654031.1196623,234496,-29.39162826538086
1716654078.098276,235520,-30.04664802551269
1716654126.1421726,236544,-30.09650421142578
1716654175.8004253,237568,-30.17586898803711
1716654223.186151,238592,-30.74700355529785
1716654271.5218418,239616,-30.96462059020996
1716654321.0365255,240640,-32.44925308227539
1716654370.0102508,241664,-32.55955505371094
1716654417.1992462,242688,-34.00032424926758
1716654465.7592025,243712,-34.02546310424805
1716654513.6224988,244736,-34.960716247558594
1716654561.330388,245760,-35.62818908691406
1716654609.1987813,246784,-35.59370040893555
1716654656.5390277,247808,-35.44782638549805
1716654703.0576036,248832,-35.15460586547852
1716654751.6298332,249856,-35.72699737548828
1716654799.9405065,250880,-36.431190490722656
1716654851.6203277,251904,-36.35202407836914
1716654899.462191,252928,-36.0882568359375
1716654947.179679,253952,-36.5057487487793
1716654993.6752155,254976,-36.651145935058594
1716655040.6601713,256000,-36.9323616027832
1716655089.475343,257024,-36.88246154785156
1716655136.4995615,258048,-37.235626220703125
1716655185.996102,259072,-37.58716583251953
1716655233.0777867,260096,-37.89795684814453
1716655280.9869337,261120,-38.356815338134766
1716655329.2178893,262144,-38.33503723144531
1716655378.590088,263168,-40.421024322509766
1716655428.4721332,264192,-40.40164566040039
1716655478.6464634,265216,-40.85325241088867
1716655527.8199322,266240,-41.1025619506836
1716655576.4797645,267264,-41.67535018920898
1716655622.9194686,268288,-42.16212463378906
1716655669.8516157,269312,-43.72063064575195
1716655718.9215288,270336,-44.671756744384766
1716655765.775261,271360,-44.18202972412109
1716655813.826919,272384,-44.489295959472656
1716655860.532648,273408,-42.74869918823242
1716655906.834823,274432,-42.250431060791016
1716655955.2889285,275456,-41.19015502929688
1716656003.2201989,276480,-41.28314971923828
1716656052.1367605,277504,-41.11935424804688
1716656098.9244251,278528,-41.03027725219727
1716656146.9402726,279552,-41.37236404418945
1716656195.465623,280576,-40.91950607299805
1716656241.9096477,281600,-42.20656967163086
1716656290.899749,282624,-42.46607208251953
1716656339.6899643,283648,-43.05411911010742
1716656388.4699197,284672,-43.695987701416016
1716656435.2423167,285696,-43.521183013916016
1716656484.4773848,286720,-43.54092788696289
1716656531.220544,287744,-43.728851318359375
1716656578.746287,288768,-43.78325271606445
1716656626.834678,289792,-42.90550231933594
1716656673.8954673,290816,-43.08633041381836
1716656722.9165242,291840,-42.66493606567383
1716656770.5132067,292864,-43.01724624633789
1716656819.595517,293888,-43.68753433227539
1716656868.493817,294912,-43.09955596923828
1716656918.5918624,295936,-42.74113082885742
