Wall time,Step,Value
1716181220.3305478,1024,-52.89855194091797
1716181233.86762,2048,-50.99473190307617
1716181246.948794,3072,-44.34131622314453
1716181260.6105845,4096,-47.14487457275391
1716181276.2494142,5120,-50.62370300292969
1716181290.6105783,6144,-49.2684211730957
1716181304.4614804,7168,-44.57274627685547
1716181319.006648,8192,-46.96319961547852
1716181332.8664749,9216,-44.6533432006836
1716181348.851399,10240,-41.85467529296875
1716181363.640408,11264,-40.69098281860352
1716181378.8498394,12288,-39.383399963378906
1716181392.8975978,13312,-38.42961120605469
1716181407.2012217,14336,-38.94550704956055
1716181421.7114928,15360,-40.25446701049805
1716181435.605849,16384,-42.30506134033203
1716181449.2036178,17408,-44.21771240234375
1716181462.9829884,18432,-46.044464111328125
1716181476.4370215,19456,-47.49918746948242
1716181489.920299,20480,-48.45756149291992
1716181503.3602686,21504,-49.853763580322266
1716181516.9381676,22528,-49.81402587890625
1716181531.0518105,23552,-47.74271774291992
1716181546.6027875,24576,-46.74824905395508
1716181560.8429277,25600,-47.80449295043945
1716181574.9141972,26624,-48.56235885620117
1716181589.0803957,27648,-47.44670486450195
1716181602.5677593,28672,-48.32460784912109
1716181615.914457,29696,-46.97172164916992
1716181629.543558,30720,-46.19303512573242
1716181645.0749433,31744,-45.74759292602539
1716181658.6921594,32768,-43.04157257080078
1716181672.984086,33792,-43.97275161743164
1716181686.6913793,34816,-43.81620788574219
1716181700.6265786,35840,-43.90054702758789
1716181714.8592944,36864,-43.37099456787109
1716181730.3762715,37888,-43.11594009399414
1716181744.1774223,38912,-41.9276008605957
1716181758.147647,39936,-41.695762634277344
1716181771.7624395,40960,-41.98430633544922
1716181785.5059495,41984,-41.7401237487793
1716181799.41241,43008,-41.57562255859375
1716181813.116501,44032,-39.56587600708008
1716181826.2389338,45056,-39.1341667175293
1716181839.6599908,46080,-39.107521057128906
1716181854.2899802,47104,-36.84465026855469
1716181868.413013,48128,-36.07705307006836
1716181882.33961,49152,-34.77922058105469
1716181896.7581174,50176,-33.21674346923828
1716181911.3912675,51200,-29.78037071228028
1716181926.4418714,52224,-27.0232048034668
1716181941.379926,53248,-24.87398910522461
1716181956.177756,54272,-21.23875617980957
1716181971.5018044,55296,-16.610172271728516
1716181986.3966372,56320,-11.885252952575684
1716182000.7036183,57344,-8.691014289855957
1716182015.0046344,58368,-4.035758018493652
1716182029.1487749,59392,0.5059336423873901
1716182043.6935482,60416,8.243902206420898
1716182058.667513,61440,10.002005577087402
1716182073.1030188,62464,18.090856552124023
1716182087.312654,63488,18.89765167236328
1716182101.717249,64512,23.921085357666016
1716182116.008355,65536,33.33638381958008
1716182130.3489692,66560,41.888275146484375
1716182144.4606614,67584,51.43946838378906
1716182158.597596,68608,52.30572128295898
1716182174.8526497,69632,54.42676544189453
1716182189.5121725,70656,57.89946365356445
1716182204.0774148,71680,60.699825286865234
1716182218.2035162,72704,60.813358306884766
1716182232.2435322,73728,61.97967529296875
1716182246.0796137,74752,65.55133056640625
1716182259.9658632,75776,70.15350341796875
1716182273.487979,76800,76.83833312988281
1716182287.575528,77824,77.47828674316406
1716182301.7190835,78848,82.37891387939453
1716182315.9903378,79872,85.1253890991211
1716182330.062811,80896,86.92090606689453
1716182343.6247897,81920,88.29780578613281
1716182357.6648345,82944,89.91960144042969
1716182371.907316,83968,89.89832305908203
1716182387.193272,84992,90.6235122680664
1716182401.535194,86016,98.17518615722656
1716182415.7631674,87040,102.75423431396484
1716182430.1283996,88064,108.1172332763672
1716182443.9642978,89088,109.50096893310548
1716182457.331118,90112,112.29823303222656
1716182471.2680008,91136,116.09156036376952
1716182486.272632,92160,119.38260650634766
1716182499.9658103,93184,121.4938735961914
1716182514.025557,94208,124.4221649169922
1716182528.118763,95232,127.81421661376952
1716182542.4437735,96256,135.2625732421875
1716182556.5969625,97280,140.462158203125
1716182570.5146697,98304,142.67544555664062
1716182584.6384451,99328,144.65386962890625
1716182599.977152,100352,148.10018920898438
1716182614.9081602,101376,151.0785369873047
1716182629.186857,102400,157.71229553222656
1716182643.2087982,103424,164.13291931152344
1716182657.5878904,104448,171.86436462402344
1716182671.7759445,105472,176.3270263671875
1716182686.0039773,106496,178.39083862304688
1716182700.7539568,107520,182.33743286132807
1716182715.4515505,108544,191.5453491210937
1716182729.4124942,109568,194.9346160888672
1716182743.6170893,110592,199.7582244873047
1716182759.1331756,111616,204.06515502929688
1716182773.315087,112640,210.8063201904297
1716182787.8096986,113664,218.63755798339844
1716182802.0744643,114688,223.53121948242188
1716182816.535687,115712,231.5290069580078
1716182830.9050372,116736,237.6212921142578
1716182846.8915555,117760,240.9828948974609
1716182861.2714703,118784,244.98497009277344
1716182875.6262248,119808,251.3669586181641
1716182890.6478946,120832,255.6312866210937
1716182906.001632,121856,256.1513977050781
1716182922.3578954,122880,259.7774353027344
1716182939.3291256,123904,263.3742980957031
1716182955.8848555,124928,270.9194641113281
1716182970.983232,125952,277.4786071777344
1716182986.75963,126976,284.4222106933594
1716183002.5331595,128000,291.0710754394531
1716183017.862987,129024,290.43408203125
1716183034.0659828,130048,297.4166564941406
