Wall time,Step,Value
1716642797.089209,1024,-54.022987365722656
1716642818.9746168,2048,-56.39293670654297
1716642842.6139705,3072,-54.836669921875
1716642868.4901297,4096,-54.65961456298828
1716642889.4292986,5120,-51.87583923339844
1716642910.7666788,6144,-49.08228302001953
1716642931.8996892,7168,-48.50155258178711
1716642958.7267342,8192,-46.34779357910156
1716642986.1599455,9216,-44.658878326416016
1716643011.6438792,10240,-44.43027877807617
1716643037.9717762,11264,-43.13957595825195
1716643065.525994,12288,-42.17358016967773
1716643093.0068772,13312,-40.261985778808594
1716643117.7486684,14336,-38.941036224365234
1716643139.1815343,15360,-36.76163482666016
1716643162.0314786,16384,-35.22416687011719
1716643185.546665,17408,-34.77754211425781
1716643207.7267337,18432,-34.69731140136719
1716643226.1402462,19456,-34.013671875
1716643245.119795,20480,-33.76568984985352
1716643267.0684066,21504,-30.76362991333008
1716643294.2461731,22528,-32.28154373168945
1716643321.9895334,23552,-32.14121627807617
1716643350.0143695,24576,-31.919885635375977
1716643376.8103971,25600,-31.950782775878903
1716643404.1412146,26624,-31.60948181152344
1716643433.4250734,27648,-31.4295597076416
1716643459.8601415,28672,-29.69917297363281
1716643486.905507,29696,-29.12483787536621
1716643514.0752995,30720,-26.661304473876957
1716643541.9730124,31744,-26.4053897857666
1716643569.4496193,32768,-26.628480911254883
1716643598.384863,33792,-26.574180603027344
1716643618.1501102,34816,-24.69317054748535
1716643636.7402177,35840,-23.660362243652344
1716643654.892995,36864,-22.383625030517575
1716643672.9148035,37888,-20.905805587768555
1716643691.0709417,38912,-18.536767959594727
1716643709.3605804,39936,-14.715402603149414
1716643728.2559066,40960,-12.726637840270996
1716643746.9721963,41984,-11.280139923095703
1716643765.144987,43008,-3.872319459915161
1716643782.8357406,44032,-4.332901477813721
1716643801.391802,45056,-4.947977542877197
1716643818.9228046,46080,-5.3359375
1716643837.083974,47104,-4.648276329040527
1716643855.146177,48128,-4.154612064361572
1716643873.6200075,49152,-3.503758192062378
1716643891.7732842,50176,-4.187576770782471
1716643910.5583212,51200,-1.127980351448059
1716643928.3914745,52224,-1.7641831636428833
1716643946.814441,53248,1.2431999444961548
1716643965.6980093,54272,6.07216215133667
1716643984.436634,55296,6.469159126281738
1716644002.972923,56320,8.753191947937012
1716644021.7975476,57344,10.583107948303224
1716644040.4830315,58368,13.06521701812744
1716644058.9507658,59392,19.004852294921875
1716644077.076151,60416,18.80921173095703
1716644095.304688,61440,24.004377365112305
1716644113.4962711,62464,32.0849494934082
1716644132.180795,63488,41.63223648071289
1716644150.749107,64512,45.56147384643555
1716644169.3633144,65536,47.0576286315918
1716644187.864405,66560,50.71936798095703
1716644206.258391,67584,56.26362228393555
1716644224.600175,68608,61.43169021606445
1716644242.7257335,69632,64.3858642578125
1716644261.342653,70656,69.20730590820312
1716644279.922436,71680,72.2626724243164
1716644298.7158754,72704,77.68557739257812
1716644317.5156393,73728,79.37069702148438
1716644335.7081702,74752,79.1654052734375
1716644354.1624427,75776,86.64666748046875
1716644372.6072197,76800,87.6995620727539
1716644390.84277,77824,90.15489959716795
1716644409.1111214,78848,92.84522247314452
1716644427.5628722,79872,98.42816925048828
1716644445.9341874,80896,97.0495147705078
1716644464.2318864,81920,98.39691162109376
1716644482.281624,82944,98.1365737915039
1716644500.2314882,83968,97.01531982421876
1716644518.1959414,84992,99.33759307861328
1716644536.5539105,86016,100.96794128417967
1716644555.6954834,87040,99.5608367919922
1716644574.5154147,88064,102.99471282958984
1716644592.9490645,89088,108.24312591552734
1716644611.178195,90112,113.89227294921876
1716644629.6649983,91136,115.7423858642578
1716644647.959967,92160,121.46549224853516
1716644666.1832254,93184,124.95591735839844
1716644684.5124226,94208,126.98625183105467
1716644702.7223828,95232,130.87222290039062
1716644720.785018,96256,131.51161193847656
1716644746.1033683,97280,131.19993591308594
1716644774.2710052,98304,132.96360778808594
1716644801.4332533,99328,132.97940063476562
1716644828.6321292,100352,132.2783966064453
1716644855.0923965,101376,133.6458740234375
1716644883.2778423,102400,135.6334991455078
1716644916.605398,103424,136.39694213867188
1716644944.2563694,104448,137.2715606689453
1716644971.5365078,105472,139.90476989746094
